,Year,Area,Count
624,1968,Central Africa,0.0
625,1968,Central America,6.0
626,1968,Central Asia,0.0
627,1968,Central Europe,2.0
628,1968,East Asia,8.0
629,1968,Eastern Africa,0.0
630,1968,Eastern Europe,0.0
631,1968,Indian Ocean,0.0
632,1968,North America,51.0
633,1968,Northern Africa,2.0
634,1968,Northern Asia,0.0
635,1968,Northern Europe,1.0
636,1968,Pacific,5.0
637,1968,South America,2.0
638,1968,South Asia,0.0
639,1968,South East Asia,17.0
640,1968,South East Europe,0.0
641,1968,South West Asia,1.0
642,1968,South West Europe,1.0
643,1968,Southern Africa,0.0
644,1968,Southern Europe,0.0
645,1968,West Indies,0.0
646,1968,Western Africa,1.0
647,1968,Western Europe,34.0
648,1969,Central Africa,0.0
649,1969,Central America,7.0
650,1969,Central Asia,0.0
651,1969,Central Europe,2.0
652,1969,East Asia,8.0
653,1969,Eastern Africa,0.0
654,1969,Eastern Europe,0.0
655,1969,Indian Ocean,0.0
656,1969,North America,61.0
657,1969,Northern Africa,2.0
658,1969,Northern Asia,0.0
659,1969,Northern Europe,1.0
660,1969,Pacific,5.0
661,1969,South America,3.0
662,1969,South Asia,0.0
663,1969,South East Asia,19.0
664,1969,South East Europe,0.0
665,1969,South West Asia,1.0
666,1969,South West Europe,1.0
667,1969,Southern Africa,1.0
668,1969,Southern Europe,0.0
669,1969,West Indies,0.0
670,1969,Western Africa,1.0
671,1969,Western Europe,37.0
672,1970,Central Africa,0.0
673,1970,Central America,7.0
674,1970,Central Asia,0.0
675,1970,Central Europe,2.0
676,1970,East Asia,9.0
677,1970,Eastern Africa,0.0
678,1970,Eastern Europe,0.0
679,1970,Indian Ocean,0.0
680,1970,North America,71.0
681,1970,Northern Africa,2.0
682,1970,Northern Asia,0.0
683,1970,Northern Europe,1.0
684,1970,Pacific,5.0
685,1970,South America,4.0
686,1970,South Asia,1.0
687,1970,South East Asia,21.0
688,1970,South East Europe,1.0
689,1970,South West Asia,1.0
690,1970,South West Europe,1.0
691,1970,Southern Africa,1.0
692,1970,Southern Europe,0.0
693,1970,West Indies,0.0
694,1970,Western Africa,1.0
695,1970,Western Europe,43.0
696,1971,Central Africa,0.0
697,1971,Central America,8.0
698,1971,Central Asia,0.0
699,1971,Central Europe,2.0
700,1971,East Asia,10.0
701,1971,Eastern Africa,0.0
702,1971,Eastern Europe,0.0
703,1971,Indian Ocean,0.0
704,1971,North America,75.0
705,1971,Northern Africa,2.0
706,1971,Northern Asia,0.0
707,1971,Northern Europe,2.0
708,1971,Pacific,5.0
709,1971,South America,5.0
710,1971,South Asia,1.0
711,1971,South East Asia,21.0
712,1971,South East Europe,1.0
713,1971,South West Asia,1.0
714,1971,South West Europe,1.0
715,1971,Southern Africa,1.0
716,1971,Southern Europe,1.0
717,1971,West Indies,1.0
718,1971,Western Africa,1.0
719,1971,Western Europe,49.0
720,1972,Central Africa,0.0
721,1972,Central America,9.0
722,1972,Central Asia,0.0
723,1972,Central Europe,2.0
724,1972,East Asia,10.0
725,1972,Eastern Africa,0.0
726,1972,Eastern Europe,0.0
727,1972,Indian Ocean,0.0
728,1972,North America,83.0
729,1972,Northern Africa,2.0
730,1972,Northern Asia,0.0
731,1972,Northern Europe,2.0
732,1972,Pacific,8.0
733,1972,South America,5.0
